val_loss,epoch,step,train_loss
0.1898365020751953,0,5,
,0,5,0.21208100020885468
0.18041089177131653,1,11,
,1,11,0.20003628730773926
0.172187939286232,2,17,
,2,17,0.18755535781383514
0.16496770083904266,3,23,
,3,23,0.18038132786750793
0.15857259929180145,4,29,
,4,29,0.17298294603824615
0.15289779007434845,5,35,
,5,35,0.1674661487340927
0.147781640291214,6,41,
,6,41,0.16130521893501282
0.1431412696838379,7,47,
,7,47,0.16090866923332214
0.13884156942367554,8,53,
,8,53,0.15451766550540924
0.13494960963726044,9,59,
,9,59,0.14399783313274384
0.13129794597625732,10,65,
,10,65,0.14591063559055328
0.12782149016857147,11,71,
,11,71,0.14602765440940857
0.12449025362730026,12,77,
,12,77,0.13625358045101166
0.12126294523477554,13,83,
,13,83,0.136543869972229
0.11830311268568039,14,89,
,14,89,0.1384766399860382
0.1155705600976944,15,95,
,15,95,0.13100343942642212
0.11320781707763672,16,101,
,16,101,0.12615907192230225
0.1109926775097847,17,107,
,17,107,0.1217825785279274
0.10887981951236725,18,113,
,18,113,0.1244969367980957
0.10688263177871704,19,119,
,19,119,0.12042909860610962
0.10500801354646683,20,125,
,20,125,0.11948413401842117
0.10326556116342545,21,131,
,21,131,0.11966461688280106
0.10151491314172745,22,137,
,22,137,0.11455395817756653
0.09978402405977249,23,143,
,23,143,0.11528974026441574
0.09814494848251343,24,149,
,24,149,0.11079906672239304
0.09668628871440887,25,155,
,25,155,0.11464645713567734
0.09541111439466476,26,161,
,26,161,0.11155203729867935
0.09418492019176483,27,167,
,27,167,0.11198590695858002
0.0930994525551796,28,173,
,28,173,0.10889042913913727
0.09204795211553574,29,179,
,29,179,0.1137925535440445
0.09105745702981949,30,185,
,30,185,0.1068180650472641
0.09001835435628891,31,191,
,31,191,0.110289067029953
0.08900599926710129,32,197,
,32,197,0.10722149908542633
0.0880628228187561,33,203,
,33,203,0.10718583315610886
0.08708810061216354,34,209,
,34,209,0.1048361286520958
0.08620215207338333,35,215,
