val_loss,epoch,step,train_loss
0.2514403164386749,0,6,
,0,6,0.29801589250564575
0.2421143651008606,1,13,
,1,13,0.28133344650268555
0.2335776388645172,2,20,
,2,20,0.270153671503067
0.2257801741361618,3,27,
,3,27,0.26287850737571716
0.2189769297838211,4,34,
,4,34,0.25144490599632263
0.21288232505321503,5,41,
,5,41,0.2424967885017395
0.20778700709342957,6,48,
,6,48,0.2365240752696991
0.20325659215450287,7,55,
,7,55,0.23144212365150452
0.1992018073797226,8,62,
,8,62,0.22475026547908783
0.19542203843593597,9,69,
,9,69,0.21931935846805573
0.1916814148426056,10,76,
,10,76,0.2139115184545517
0.18818363547325134,11,83,
,11,83,0.2128167748451233
0.1848783791065216,12,90,
,12,90,0.20790579915046692
0.18192432820796967,13,97,
,13,97,0.2031254917383194
0.17921645939350128,14,104,
,14,104,0.19868500530719757
0.17683573067188263,15,111,
,15,111,0.19738972187042236
0.17477025091648102,16,118,
,16,118,0.19563676416873932
0.1728474348783493,17,125,
,17,125,0.1957528442144394
0.17114171385765076,18,132,
,18,132,0.18917149305343628
0.16953283548355103,19,139,
,19,139,0.1862066388130188
0.16804882884025574,20,146,
,20,146,0.18899017572402954
0.1666863113641739,21,153,
,21,153,0.1869039535522461
0.16544702649116516,22,160,
,22,160,0.18582341074943542
0.16415421664714813,23,167,
,23,167,0.18350455164909363
0.1629028022289276,24,174,
,24,174,0.18039272725582123
0.1617150455713272,25,181,
,25,181,0.17590217292308807
0.16030213236808777,26,188,
,26,188,0.17830441892147064
0.1590246856212616,27,195,
,27,195,0.17755116522312164
0.1578231006860733,28,202,
,28,202,0.1745426207780838
0.15680965781211853,29,209,
,29,209,0.1754634976387024
0.15567998588085175,30,216,
,30,216,0.17437270283699036
0.15463553369045258,31,223,
,31,223,0.17217811942100525
0.15381939709186554,32,230,
,32,230,0.1707584410905838
0.15306265652179718,33,237,
,33,237,0.17031756043434143
0.15212218463420868,34,244,
,34,244,0.16961774230003357
0.15111762285232544,35,251,
,35,251,0.169390469789505
0.1501372903585434,36,258,
,36,258,0.16648732125759125
0.1491466462612152,37,265,
,37,265,0.1659916639328003
0.1483023315668106,38,272,
,38,272,0.1662415713071823
0.1474658101797104,39,279,
,39,279,0.16795991361141205
0.14668838679790497,40,286,
,40,286,0.16579608619213104
0.14592507481575012,41,293,
,41,293,0.1620919406414032
0.14515341818332672,42,300,
,42,300,0.16183270514011383
0.14439354836940765,43,307,
,43,307,0.16520805656909943
0.1435963213443756,44,314,
,44,314,0.15646056830883026
0.14285734295845032,45,321,
,45,321,0.15877890586853027
0.14212250709533691,46,328,
,46,328,0.15694449841976166
0.14124183356761932,47,335,
,47,335,0.15442299842834473
0.1402081996202469,48,342,
,48,342,0.15754128992557526
0.1389719545841217,49,349,
,49,349,0.15384675562381744
0.13792766630649567,50,356,
,50,356,0.1524180918931961
0.1369793713092804,51,363,
,51,363,0.151942178606987
0.1361865997314453,52,370,
,52,370,0.1559968739748001
0.13547039031982422,53,377,
,53,377,0.14961497485637665
0.134651318192482,54,384,
,54,384,0.15410549938678741
0.13385087251663208,55,391,
,55,391,0.1540764421224594
0.1330302506685257,56,398,
,56,398,0.15009817481040955
0.1324169635772705,57,405,
,57,405,0.15090717375278473
0.13177134096622467,58,412,
,58,412,0.1457180380821228
0.13105525076389313,59,419,
,59,419,0.14759156107902527
0.13027739524841309,60,426,
,60,426,0.14778417348861694
0.12923671305179596,61,433,
,61,433,0.14708606898784637
0.12783080339431763,62,440,
,62,440,0.14795918762683868
0.12654484808444977,63,447,
,63,447,0.14380662143230438
0.1253797709941864,64,454,
,64,454,0.1442953646183014
0.12448783963918686,65,461,
,65,461,0.14461557567119598
0.12361456453800201,66,468,
,66,468,0.14270253479480743
0.12263451516628265,67,475,
,67,475,0.1386803835630417
0.12178267538547516,68,482,
,68,482,0.13912376761436462
0.12096445262432098,69,489,
,69,489,0.13777925074100494
0.12013478577136993,70,496,
,70,496,0.14011812210083008
0.11942405998706818,71,503,
,71,503,0.13670997321605682
0.11875767260789871,72,510,
,72,510,0.1365947276353836
0.11817567050457001,73,517,
,73,517,0.13942010700702667
0.11755530536174774,74,524,
,74,524,0.1354341059923172
0.11692477017641068,75,531,
,75,531,0.13658256828784943
0.11616206169128418,76,538,
,76,538,0.13782696425914764
0.11558520048856735,77,545,
,77,545,0.13434483110904694
0.11487330496311188,78,552,
,78,552,0.13356705009937286
0.11421864479780197,79,559,
,79,559,0.13444390892982483
0.11367563903331757,80,566,
,80,566,0.14056932926177979
0.11301753669977188,81,573,
,81,573,0.13612936437129974
0.11214352399110794,82,580,
,82,580,0.13254402577877045
0.11154904961585999,83,587,
,83,587,0.13141275942325592
0.11093373596668243,84,594,
,84,594,0.13211679458618164
0.11031559109687805,85,601,
,85,601,0.12898868322372437
0.10970988124608994,86,608,
,86,608,0.13081690669059753
0.10915384441614151,87,615,
,87,615,0.1350395828485489
0.10868499428033829,88,622,
,88,622,0.1273414045572281
0.10829706490039825,89,629,
,89,629,0.13414323329925537
0.10788068175315857,90,636,
,90,636,0.13091136515140533
0.10743404179811478,91,643,
,91,643,0.1277051568031311
0.10697771608829498,92,650,
,92,650,0.13342633843421936
0.10647963732481003,93,657,
,93,657,0.12673364579677582
0.1059025302529335,94,664,
,94,664,0.12560898065567017
0.10521403700113297,95,671,
,95,671,0.12391631305217743
0.10446632653474808,96,678,
,96,678,0.12855024635791779
0.10398243367671967,97,685,
,97,685,0.13266542553901672
0.10357962548732758,98,692,
,98,692,0.12659233808517456
0.10309236496686935,99,699,
,99,699,0.1279962807893753
0.10270929336547852,100,706,
,100,706,0.1287425309419632
0.10241386294364929,101,713,
,101,713,0.12784399092197418
0.10204274207353592,102,720,
,102,720,0.12374455481767654
0.10166819393634796,103,727,
,103,727,0.12372271716594696
0.10120393335819244,104,734,
,104,734,0.12562011182308197
0.10072774440050125,105,741,
,105,741,0.1210055723786354
0.10024916380643845,106,748,
,106,748,0.12625615298748016
0.10002048313617706,107,755,
,107,755,0.12061698734760284
0.09963676333427429,108,762,
,108,762,0.11976918578147888
0.09927581250667572,109,769,
,109,769,0.12046961486339569
0.09883825480937958,110,776,
,110,776,0.11472012847661972
0.09828890115022659,111,783,
,111,783,0.13415467739105225
0.0978931412100792,112,790,
,112,790,0.12266393005847931
0.09758929908275604,113,797,
,113,797,0.12507590651512146
0.09734724462032318,114,804,
,114,804,0.12032946199178696
0.09703893959522247,115,811,
,115,811,0.12387371808290482
0.09673253446817398,116,818,
,116,818,0.12032023072242737
0.09638857841491699,117,825,
,117,825,0.12113799154758453
0.09604792296886444,118,832,
,118,832,0.12356644868850708
0.09560426324605942,119,839,
,119,839,0.11850467324256897
0.09526477009057999,120,846,
,120,846,0.11707203090190887
0.09501779824495316,121,853,
,121,853,0.12338019907474518
0.09473011642694473,122,860,
,122,860,0.11840693652629852
0.09443508833646774,123,867,
,123,867,0.11421766877174377
0.09405875205993652,124,874,
,124,874,0.12671339511871338
0.09380867332220078,125,881,
,125,881,0.11507001519203186
0.09345628321170807,126,888,
,126,888,0.11722496151924133
0.09301765263080597,127,895,
,127,895,0.11529386043548584
0.09262391924858093,128,902,
,128,902,0.11685676127672195
0.09235461801290512,129,909,
,129,909,0.1120147705078125
0.0920577421784401,130,916,
,130,916,0.12041867524385452
0.09180287271738052,131,923,
,131,923,0.1128254383802414
0.0914900153875351,132,930,
,132,930,0.11936507374048233
0.09106234461069107,133,937,
,133,937,0.11551953107118607
0.0906008780002594,134,944,
,134,944,0.119888074696064
0.09036936610937119,135,951,
,135,951,0.1159166768193245
0.0900263711810112,136,958,
,136,958,0.11376368999481201
0.08977339416742325,137,965,
,137,965,0.11215906590223312
0.08944519609212875,138,972,
,138,972,0.11386208981275558
0.08923519402742386,139,979,
,139,979,0.11581844091415405
0.08901277929544449,140,986,
,140,986,0.10967761278152466
0.08855002373456955,141,993,
,141,993,0.11162169277667999
0.0881507396697998,142,1000,
,142,1000,0.11366903781890869
0.08770132064819336,143,1007,
,143,1007,0.10987210273742676
0.08737952262163162,144,1014,
,144,1014,0.11127153784036636
0.08696341514587402,145,1021,
,145,1021,0.1142856627702713
0.08663275837898254,146,1028,
,146,1028,0.1184147447347641
0.0864626094698906,147,1035,
,147,1035,0.1076345145702362
0.08613625913858414,148,1042,
,148,1042,0.10947597026824951
0.08579488098621368,149,1049,
,149,1049,0.10814504325389862
0.08546938002109528,150,1056,
,150,1056,0.1106397733092308
0.08513369411230087,151,1063,
,151,1063,0.10722149163484573
0.08486427366733551,152,1070,
,152,1070,0.10795500874519348
0.08454973250627518,153,1077,
,153,1077,0.11424843221902847
0.08419033139944077,154,1084,
,154,1084,0.10877354443073273
0.08389843255281448,155,1091,
,155,1091,0.1081269308924675
0.08363758027553558,156,1098,
,156,1098,0.11470422148704529
0.08339808881282806,157,1105,
,157,1105,0.10560616105794907
0.08310200273990631,158,1112,
,158,1112,0.10974626988172531
0.08286413550376892,159,1119,
,159,1119,0.11060434579849243
0.08270975202322006,160,1126,
,160,1126,0.10898042470216751
0.08243869245052338,161,1133,
,161,1133,0.11073201894760132
0.08221859484910965,162,1140,
