RT(milliseconds),RT(minutes) - NOT USED BY IMPORT,RI,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349
75,0.00125,0.0,3.7140846,3.771305,3.8285255,3.370285,2.9120445,2.9771328,3.042221,2.8102398,2.5782585,2.2161007,1.8539429,1.7609596,1.6679764,1.5308857,1.393795,1.326561,1.2593269,1.1537075,1.0480881,0.96416473,0.8802414,0.76413155,0.6480217,0.58817863,0.5283356,0.48613548,0.4439354,0.43797493,0.43201447,0.39315224,0.35429,0.37670135,0.3991127,0.39863586,0.39815903,0.4184246,0.4386902,0.49853325,0.5583763,0.5681515,0.57792664,0.57959557,0.5812645,0.6005764,0.6198883,0.63729286,0.6546974,0.6520748,0.6494522,0.64635277,0.6432533,0.63443184,0.62561035,0.5848408,0.5440712,0.59604645,0.6480217,0.6299019,0.6117821,0.59342384,0.5750656,0.5748272,0.5745888,0.62179565,0.66900253,0.6520748,0.6351471,0.6227493,0.61035156,0.63204765,0.65374374,0.63061714,0.60749054,0.5967617,0.58603287,0.6072521,0.6284714,0.5996227,0.5707741,0.5745888,0.5784035,0.531435,0.48446655,0.52428246,0.56409836,0.53048134,0.49686432,0.5402565,0.5836487,0.55623055,0.5288124,0.54216385,0.5555153,0.5481243,0.54073334,0.5376339,0.53453445,0.54740906,0.56028366,0.56385994,0.5674362,0.57697296,0.5865097,0.56767464,0.54883957,0.5555153,0.562191,0.551939,0.541687,0.5891323,0.6365776,0.62322617,0.6098747,0.56123734,0.51259995,0.5507469,0.5888939,0.58817863,0.5874634,0.5886555,0.58984756,0.59604645,0.60224533,0.59747696,0.5927086,0.59461594,0.5965233,0.5996227,0.60272217,0.5905628,0.5784035,0.600338,0.6222725,0.6377697,0.6532669,0.6008148,0.54836273,0.538826,0.52928925,0.55885315,0.58841705,0.5326271,0.47683716,0.53215027,0.5874634
275,0.004583333333333333,0.0,3.6535263,3.712654,3.771782,3.4060478,3.0403137,3.1237602,3.2072067,2.884388,2.5615692,2.2616386,1.9617081,1.852274,1.7428398,1.6245842,1.5063286,1.4104843,1.31464,1.188755,1.06287,0.97703934,0.89120865,0.78487396,0.6785393,0.6160736,0.55360794,0.4990101,0.44441223,0.43320656,0.42200089,0.39935112,0.37670135,0.38909912,0.4014969,0.40197372,0.40245056,0.4131794,0.42390823,0.48422813,0.54454803,0.54335594,0.54216385,0.55241585,0.56266785,0.5893707,0.6160736,0.6239414,0.63180923,0.6277561,0.623703,0.6175041,0.61130524,0.6017685,0.59223175,0.5674362,0.5426407,0.5850792,0.6275177,0.60629845,0.5850792,0.5764961,0.56791306,0.5569458,0.54597855,0.5996227,0.6532669,0.6272793,0.60129166,0.61297417,0.6246567,0.61917305,0.6136894,0.60129166,0.5888939,0.5733967,0.5578995,0.58698654,0.6160736,0.5810261,0.54597855,0.5571842,0.5683899,0.518322,0.4682541,0.51641464,0.5645752,0.51546097,0.46634674,0.5095005,0.55265427,0.5264282,0.5002022,0.5259514,0.5517006,0.5283356,0.50497055,0.5123615,0.5197525,0.531435,0.5431175,0.5476475,0.5521774,0.55885315,0.56552887,0.54717064,0.5288124,0.5390644,0.5493164,0.54717064,0.5450249,0.58698654,0.6289482,0.6093979,0.58984756,0.53572655,0.48160553,0.52142143,0.56123734,0.56529045,0.56934357,0.5674362,0.56552887,0.5800724,0.59461594,0.5784035,0.562191,0.56910515,0.5760193,0.58174133,0.5874634,0.572443,0.55742264,0.5848408,0.6122589,0.6327629,0.6532669,0.5893707,0.52547455,0.51403046,0.50258636,0.53977966,0.57697296,0.5273819,0.47779083,0.51903725,0.56028366
475,0.007916666666666667,0.0,3.7875175,3.7190914,3.6506653,3.4427643,3.2348633,3.231287,3.2277107,2.8924942,2.5572777,2.3453236,2.1333694,1.9636154,1.7938614,1.7039776,1.6140938,1.521349,1.4286041,1.2345314,1.0404587,0.9922981,0.9441376,0.8249283,0.705719,0.6508827,0.59604645,0.5252361,0.4544258,0.4413128,0.42819977,0.41675568,0.40531158,0.40483475,0.4043579,0.40507317,0.40578842,0.41007996,0.4143715,0.46634674,0.518322,0.51927567,0.52022934,0.5276203,0.5350113,0.56409836,0.5931854,0.60009956,0.6070137,0.6008148,0.59461594,0.5891323,0.5836487,0.5788803,0.57411194,0.5559921,0.5378723,0.5681515,0.59843063,0.579834,0.56123734,0.5493164,0.5373955,0.53954124,0.541687,0.58555603,0.62942505,0.59461594,0.5598068,0.5970001,0.6341934,0.6132126,0.59223175,0.58317184,0.57411194,0.549078,0.52404404,0.5569458,0.58984756,0.5607605,0.53167343,0.5414486,0.55122375,0.49972534,0.44822693,0.5040169,0.5598068,0.5040169,0.44822693,0.48923492,0.5302429,0.5030632,0.47588348,0.5159378,0.5559921,0.518322,0.48065186,0.49090385,0.50115585,0.5159378,0.53071976,0.5350113,0.5393028,0.5404949,0.541687,0.52022934,0.49877167,0.510931,0.52309036,0.53429604,0.5455017,0.58174133,0.61798096,0.5917549,0.56552887,0.5283356,0.49114227,0.51116943,0.5311966,0.5354881,0.53977966,0.5400181,0.5402565,0.5648136,0.5893707,0.5631447,0.53691864,0.5555153,0.57411194,0.5598068,0.5455017,0.5478859,0.5502701,0.5712509,0.59223175,0.61130524,0.6303787,0.56409836,0.497818,0.49257278,0.48732758,0.52285194,0.5583763,0.5326271,0.5068779,0.52404404,0.5412102
675,0.01125,0.0,3.8638115,3.8216114,3.7794113,3.64995,3.5204887,3.3419132,3.1633377,2.9604435,2.7575493,2.5002956,2.243042,2.0735264,1.9040108,1.8062592,1.7085075,1.6183853,1.5282631,1.3165474,1.1048317,1.0507107,0.99658966,0.86927414,0.7419586,0.67543983,0.60892105,0.54335594,0.47779083,0.4658699,0.45394897,0.43201447,0.41007996,0.4029274,0.39577484,0.4067421,0.41770935,0.41365623,0.40960312,0.44870377,0.4878044,0.4980564,0.5083084,0.51021576,0.5121231,0.5378723,0.5636215,0.57554245,0.5874634,0.58341026,0.57935715,0.5736351,0.56791306,0.5712509,0.5745888,0.5517006,0.5288124,0.5531311,0.5774498,0.56004524,0.5426407,0.5273819,0.5121231,0.52785873,0.54359436,0.5710125,0.59843063,0.5645752,0.53071976,0.56934357,0.6079674,0.6029606,0.5979538,0.5829334,0.56791306,0.5276203,0.48732758,0.5245209,0.5617142,0.5354881,0.5092621,0.51927567,0.52928925,0.48446655,0.43964386,0.48470497,0.5297661,0.48828125,0.44679642,0.48184395,0.5168915,0.48732758,0.45776367,0.5083084,0.55885315,0.5168915,0.4749298,0.4837513,0.49257278,0.51116943,0.5297661,0.5247593,0.5197525,0.52022934,0.5207062,0.4992485,0.47779083,0.48804283,0.49829483,0.51522255,0.53215027,0.5681515,0.6041527,0.57935715,0.5545616,0.53858757,0.5226135,0.52809715,0.5335808,0.5171299,0.500679,0.5066395,0.51259995,0.541687,0.5707741,0.56147575,0.5521774,0.56672096,0.5812645,0.551939,0.5226135,0.5373955,0.5521774,0.56385994,0.57554245,0.5979538,0.62036514,0.55503845,0.48971176,0.4940033,0.49829483,0.5168915,0.5354881,0.5393028,0.5431175,0.5400181,0.53691864
875,0.014583333333333334,0.0,3.935814,4.0414333,4.147053,3.9179325,3.6888123,3.4644604,3.2401085,3.1659603,3.0918121,2.7263165,2.3608208,2.2375584,2.114296,1.9645691,1.8148422,1.704216,1.5935898,1.4054775,1.2173653,1.105547,0.99372864,0.8919239,0.7901192,0.6997585,0.6093979,0.56529045,0.521183,0.49686432,0.47254562,0.43082237,0.38909912,0.3838539,0.3786087,0.39052963,0.40245056,0.40340424,0.4043579,0.42939186,0.4544258,0.47278404,0.49114227,0.4887581,0.4863739,0.5142689,0.54216385,0.5571842,0.5722046,0.5645752,0.5569458,0.5609989,0.56505203,0.569582,0.57411194,0.54216385,0.51021576,0.528574,0.5469322,0.5390644,0.5311966,0.5071163,0.48303604,0.50902367,0.5350113,0.56123734,0.5874634,0.5533695,0.51927567,0.53977966,0.56028366,0.5745888,0.5888939,0.5745888,0.56028366,0.5171299,0.47397614,0.5033016,0.5326271,0.5133152,0.4940033,0.49877167,0.50354004,0.46563148,0.42772293,0.46610832,0.5044937,0.4787445,0.4529953,0.47636032,0.49972534,0.47254562,0.4453659,0.49209595,0.538826,0.50115585,0.46348572,0.48160553,0.49972534,0.5159378,0.53215027,0.51784515,0.50354004,0.50735474,0.51116943,0.4837513,0.45633316,0.47707558,0.497818,0.49948692,0.50115585,0.53977966,0.5784035,0.5619526,0.5455017,0.53453445,0.5235672,0.53811073,0.55265427,0.52142143,0.4901886,0.48184395,0.4734993,0.5044937,0.5354881,0.5466938,0.5578995,0.56648254,0.5750656,0.5533695,0.53167343,0.54597855,0.56028366,0.56505203,0.5698204,0.600338,0.63085556,0.56385994,0.49686432,0.50807,0.51927567,0.5159378,0.51259995,0.5366802,0.5607605,0.5505085,0.5402565
1075,0.017916666666666668,0.0,4.091263,4.2028427,4.3144226,4.0864944,3.8585663,3.6501884,3.4418106,3.3502579,3.2587051,2.8629303,2.4671555,2.3784637,2.289772,2.1038055,1.917839,1.7933846,1.66893,1.5211105,1.373291,1.196146,1.019001,0.92482567,0.8306503,0.7133484,0.59604645,0.5824566,0.5688667,0.5233288,0.47779083,0.43225288,0.38671494,0.38218498,0.37765503,0.38695335,0.39625168,0.39672852,0.39720535,0.41770935,0.43821335,0.45013428,0.4620552,0.46730042,0.47254562,0.5083084,0.5440712,0.5514622,0.55885315,0.54240227,0.5259514,0.5362034,0.5464554,0.5521774,0.5578995,0.5300045,0.5021095,0.5068779,0.5116463,0.50735474,0.5030632,0.48422813,0.46539307,0.4942417,0.52309036,0.5481243,0.57315826,0.53858757,0.5040169,0.5133152,0.5226135,0.53834915,0.5540848,0.5476475,0.5412102,0.5028248,0.4644394,0.4837513,0.5030632,0.487566,0.4720688,0.4761219,0.48017502,0.44989586,0.4196167,0.4479885,0.47636032,0.45633316,0.436306,0.45895576,0.48160553,0.4529953,0.42438507,0.46563148,0.5068779,0.4785061,0.45013428,0.477314,0.5044937,0.5118847,0.51927567,0.4990101,0.4787445,0.49257278,0.50640106,0.46992302,0.43344498,0.46253204,0.4916191,0.4837513,0.47588348,0.51140785,0.5469322,0.54883957,0.5507469,0.5273819,0.5040169,0.5390644,0.57411194,0.5335808,0.49304962,0.47540665,0.45776367,0.4901886,0.5226135,0.5335808,0.54454803,0.55646896,0.5683899,0.55503845,0.541687,0.5517006,0.5617142,0.5660057,0.57029724,0.6136894,0.6570816,0.5774498,0.497818,0.50735474,0.5168915,0.5085468,0.5002022,0.52928925,0.5583763,0.54621696,0.5340576
1275,0.02125,0.0,4.275799,4.2796135,4.283428,4.137993,3.9925575,3.8208961,3.6492348,3.4952164,3.341198,2.9411316,2.5410652,2.4552345,2.3694038,2.2101402,2.0508766,1.8987656,1.7466545,1.6000271,1.4533997,1.2550354,1.0566711,0.9791851,0.90169907,0.7650852,0.6284714,0.6239414,0.61941147,0.5457401,0.4720688,0.4401207,0.4081726,0.3976822,0.38719177,0.38576126,0.38433075,0.38313866,0.38194656,0.39839745,0.41484833,0.43010712,0.4453659,0.45394897,0.46253204,0.50258636,0.5426407,0.54860115,0.5545616,0.52046776,0.4863739,0.50520897,0.52404404,0.5283356,0.5326271,0.51259995,0.49257278,0.4901886,0.4878044,0.47945976,0.4711151,0.45681,0.44250488,0.47969818,0.5168915,0.53167343,0.5464554,0.5130768,0.47969818,0.49257278,0.5054474,0.5004406,0.4954338,0.5016327,0.5078316,0.4851818,0.46253204,0.45609474,0.44965744,0.45752525,0.46539307,0.47445297,0.48351288,0.44631958,0.40912628,0.43439865,0.45967102,0.44059753,0.42152405,0.4439354,0.46634674,0.43988228,0.41341782,0.45108795,0.4887581,0.46420097,0.43964386,0.4720688,0.5044937,0.50377846,0.5030632,0.48017502,0.45728683,0.48184395,0.50640106,0.45251846,0.39863586,0.44441223,0.4901886,0.4749298,0.45967102,0.49614906,0.5326271,0.5338192,0.5350113,0.510931,0.48685074,0.52952766,0.5722046,0.52952766,0.48685074,0.47516823,0.46348572,0.4851818,0.5068779,0.5071163,0.50735474,0.5338192,0.56028366,0.5457401,0.5311966,0.5450249,0.55885315,0.55646896,0.5540848,0.5989075,0.64373016,0.5598068,0.47588348,0.48422813,0.49257278,0.49185753,0.49114227,0.5130768,0.5350113,0.5271435,0.51927567
1475,0.024583333333333332,0.0,4.444599,4.3189526,4.193306,4.172802,4.152298,3.9715767,3.7908554,3.5655499,3.3402443,2.9919147,2.6435852,2.5024414,2.3612976,2.260685,2.1600723,1.9891262,1.8181801,1.6541481,1.4901161,1.3077259,1.1253357,1.0428429,0.96035004,0.8275509,0.69475174,0.67186356,0.6489754,0.5605221,0.4720688,0.4479885,0.42390823,0.4069805,0.3900528,0.37932396,0.36859512,0.36597252,0.3633499,0.37884712,0.39434433,0.41341782,0.4324913,0.4336834,0.4348755,0.48661232,0.53834915,0.54073334,0.5431175,0.50735474,0.47159195,0.48351288,0.4954338,0.49257278,0.48971176,0.48851967,0.48732758,0.48565865,0.48398972,0.46944618,0.45490265,0.44202805,0.42915344,0.45609474,0.48303604,0.50115585,0.51927567,0.49495697,0.47063828,0.4889965,0.50735474,0.4813671,0.4553795,0.4608631,0.46634674,0.46133995,0.45633316,0.43439865,0.41246414,0.43964386,0.46682358,0.47421455,0.48160553,0.43416023,0.38671494,0.41937828,0.45204163,0.43940544,0.42676926,0.4389286,0.45108795,0.43725967,0.4234314,0.45013428,0.47683716,0.4506111,0.42438507,0.45084953,0.477314,0.47373772,0.47016144,0.4441738,0.4181862,0.4518032,0.48542023,0.43416023,0.38290024,0.42629242,0.4696846,0.4594326,0.4491806,0.4878044,0.5264282,0.5161762,0.5059242,0.50091743,0.49591064,0.5156994,0.5354881,0.5056858,0.47588348,0.47302246,0.47016144,0.48351288,0.49686432,0.4849434,0.47302246,0.51760674,0.562191,0.54073334,0.51927567,0.5197525,0.52022934,0.5197525,0.51927567,0.5609989,0.60272217,0.5300045,0.45728683,0.46658516,0.47588348,0.4723072,0.46873093,0.48398972,0.4992485,0.49734116,0.4954338
1675,0.027916666666666666,0.0,4.6081543,4.4538975,4.2996407,4.335642,4.371643,4.1279793,3.8843155,3.641367,3.3984184,3.0887127,2.779007,2.5959015,2.412796,2.3331642,2.2535324,2.0792484,1.9049644,1.7094612,1.513958,1.3387203,1.1634827,1.087904,1.0123253,0.88238716,0.75244904,0.7095337,0.66661835,0.582695,0.49877167,0.46253204,0.42629242,0.40221214,0.37813187,0.36668777,0.35524368,0.3478527,0.34046173,0.3631115,0.38576126,0.3950596,0.4043579,0.4079342,0.41151047,0.46229362,0.5130768,0.5121231,0.51116943,0.49304962,0.4749298,0.47016144,0.46539307,0.45371056,0.44202805,0.46038628,0.4787445,0.48303604,0.48732758,0.4658699,0.44441223,0.42533875,0.40626526,0.41866302,0.4310608,0.46396255,0.49686432,0.48422813,0.47159195,0.49710274,0.5226135,0.48160553,0.44059753,0.43606758,0.43153763,0.4348755,0.43821335,0.42247772,0.4067421,0.4324913,0.4582405,0.46038628,0.46253204,0.4107952,0.35905838,0.39553642,0.43201447,0.43940544,0.44679642,0.436306,0.42581558,0.42891502,0.43201447,0.43964386,0.44727325,0.42939186,0.41151047,0.42581558,0.4401207,0.43678284,0.43344498,0.41556358,0.3976822,0.42533875,0.4529953,0.42033195,0.3876686,0.41127205,0.4348755,0.43940544,0.4439354,0.47159195,0.4992485,0.48422813,0.46920776,0.48327446,0.49734116,0.4913807,0.48542023,0.4723072,0.45919418,0.45681,0.4544258,0.45919418,0.46396255,0.46277046,0.46157837,0.500679,0.53977966,0.5247593,0.5097389,0.49304962,0.47636032,0.48542023,0.49448013,0.5221367,0.54979324,0.49471855,0.43964386,0.45275688,0.4658699,0.45967102,0.45347214,0.4477501,0.44202805,0.46682358,0.4916191
