val_loss,epoch,step,train_loss
0.2665244936943054,0,6,
,0,6,0.2987302243709564
0.2554178535938263,1,13,
,1,13,0.29250210523605347
0.24559061229228973,2,20,
,2,20,0.2694622576236725
0.2364056408405304,3,27,
,3,27,0.260687917470932
0.2276776134967804,4,34,
,4,34,0.24721091985702515
0.21997426450252533,5,41,
,5,41,0.24415747821331024
0.21308526396751404,6,48,
,6,48,0.23156681656837463
0.20666739344596863,7,55,
,7,55,0.21698980033397675
0.20080900192260742,8,62,
,8,62,0.21251551806926727
0.19559821486473083,9,69,
,9,69,0.2057807296514511
0.1906740367412567,10,76,
,10,76,0.1963840126991272
0.18603330850601196,11,83,
,11,83,0.19613859057426453
0.18173962831497192,12,90,
,12,90,0.18310005962848663
0.17767255008220673,13,97,
,13,97,0.18250836431980133
0.17385068535804749,14,104,
,14,104,0.17646946012973785
0.17020629346370697,15,111,
,15,111,0.17367519438266754
0.1668546050786972,16,118,
,16,118,0.16830411553382874
0.16363558173179626,17,125,
,17,125,0.16665706038475037
0.16058897972106934,18,132,
,18,132,0.16324223577976227
0.15759043395519257,19,139,
,19,139,0.1611357033252716
0.15472760796546936,20,146,
,20,146,0.15407796204090118
0.15213696658611298,21,153,
,21,153,0.1529056578874588
0.1495683789253235,22,160,
,22,160,0.15312616527080536
0.1472233086824417,23,167,
,23,167,0.14653494954109192
0.14476534724235535,24,174,
,24,174,0.14601925015449524
0.1426791101694107,25,181,
,25,181,0.14825941622257233
0.14087043702602386,26,188,
,26,188,0.14171184599399567
0.13926082849502563,27,195,
,27,195,0.14089488983154297
0.13766741752624512,28,202,
,28,202,0.1406659334897995
0.13612031936645508,29,209,
,29,209,0.13860395550727844
0.13450640439987183,30,216,
,30,216,0.13767698407173157
0.13296286761760712,31,223,
,31,223,0.13529370725154877
0.13152842223644257,32,230,
,32,230,0.13701295852661133
0.12993185222148895,33,237,
,33,237,0.1377938687801361
0.12855283915996552,34,244,
,34,244,0.13447801768779755
0.12722566723823547,35,251,
,35,251,0.13325397670269012
0.12587742507457733,36,258,
,36,258,0.12546567618846893
0.12420214712619781,37,265,
,37,265,0.12698963284492493
0.12261712551116943,38,272,
,38,272,0.13078463077545166
0.12126953899860382,39,279,
,39,279,0.12553969025611877
0.11995458602905273,40,286,
,40,286,0.12389036267995834
0.11854401975870132,41,293,
,41,293,0.12446866929531097
0.11719673126935959,42,300,
,42,300,0.12479221820831299
0.11603548377752304,43,307,
,43,307,0.12182795256376266
0.11468842625617981,44,314,
,44,314,0.1175687238574028
0.11336509883403778,45,321,
,45,321,0.1166963130235672
0.11226868629455566,46,328,
,46,328,0.12160517275333405
0.11109716445207596,47,335,
,47,335,0.11112770438194275
0.10981481522321701,48,342,
,48,342,0.11577408760786057
0.10875558853149414,49,349,
,49,349,0.11550278216600418
0.10779917240142822,50,356,
,50,356,0.11588119715452194
0.10694073885679245,51,363,
,51,363,0.11088142544031143
0.1061718687415123,52,370,
,52,370,0.11267880350351334
0.10530414432287216,53,377,
,53,377,0.11399036645889282
0.10451046377420425,54,384,
,54,384,0.11508005112409592
0.1036079004406929,55,391,
,55,391,0.11266985535621643
0.1028846800327301,56,398,
,56,398,0.11257638782262802
0.10205581784248352,57,405,
,57,405,0.11033651977777481
0.10142781585454941,58,412,
,58,412,0.11208827793598175
0.10071680694818497,59,419,
,59,419,0.11009933054447174
0.10022368282079697,60,426,
,60,426,0.1121075302362442
0.0996558889746666,61,433,
,61,433,0.11198410391807556
0.09899507462978363,62,440,
,62,440,0.11136547476053238
0.09850206971168518,63,447,
,63,447,0.10522351413965225
0.0978989452123642,64,454,
,64,454,0.11469308286905289
0.09733597934246063,65,461,
,65,461,0.10995690524578094
0.09682068973779678,66,468,
,66,468,0.11306536942720413
0.09619639068841934,67,475,
,67,475,0.10144427418708801
