label,mse,r,rho,n_points
0_DVA/C4,0.004969335797017765,0.9154394080340321,0.9350246652572233,44
0_DVA/DVO,0.009066886017856837,0.8879610705749555,0.8930232558139535,44
0_DVA/(DVA+DVO),0.005249949565489242,0.9096807337159237,0.8756871035940803,44
0_(DVA+DVO)/VDAL,0.021974235845329346,0.7329369375665091,0.7240310077519378,44
1_DVA/C4,0.009836255203226844,0.9088068176149597,0.7575757575757575,10
1_DVA/DVO,0.016030157148622062,0.9080698829328546,0.8666666666666665,10
1_DVA/(DVA+DVO),0.009297921099956011,0.9106838524644417,0.7575757575757575,10
1_(DVA+DVO)/VDAL,0.008872509652792519,0.7280303210378569,0.7333333333333332,10
2_OA/C6,0.0031148005629656706,0.9618684124222565,0.9216248867411658,43
2_OA/OL,0.0038312691465512733,0.9759534093433091,0.9755360918151615,43
2_OA/(OA+OL),0.0029497659176621507,0.9646893223514071,0.9669284204167924,43
2_(OA+OL)/PDAL,0.009806353815503986,0.4395607146467818,0.5541930937279774,44
3_OA/C6,0.008460863550384144,0.9051236553395993,0.8787878787878788,10
3_OA/OL,0.020974824558568493,0.8916583113641536,0.8424242424242423,10
3_OA/(OA+OL),0.00881703889937364,0.9152662144072103,0.7575757575757575,10
3_(OA+OL)/PDAL,0.009533312599128856,-0.40220154984172135,-0.13939393939393938,10
4_DVA/C4,0.005170475861036289,0.9833061463831612,0.9795993351412824,70
4_DVA/DVO,0.003568573066467592,0.9752142409053995,0.9288951097891697,70
4_DVA/(DVA+DVO),0.005562449125372341,0.9820340816855732,0.9822587700113725,70
4_(DVA+DVO)/VDAL,0.005107661194031569,0.5320300439564319,0.5254658385093167,70
5_OA/C6,0.004942223229956128,0.9831924558032059,0.9405657136313318,68
5_OA/OL,0.005460696304191135,0.9648313627262387,0.9273962667481008,68
5_OA/(OA+OL),0.00542481577497544,0.9830114022027243,0.9529335420086268,68
5_(OA+OL)/PDAL,0.006274201547339211,0.4036810396267854,0.4544031759361759,68
6_DVA/C4,0.011843112005371454,0.9089472373976286,0.866341818066848,73
6_DVA/DVO,0.00982710433632443,0.8860361391070853,0.8276368988175091,73
6_DVA/(DVA+DVO),0.011210867217005512,0.9090512389441389,0.8767766765133743,73
6_(DVA+DVO)/VDAL,0.01146862809597799,-0.011377339278074525,-0.04855132854273095,73
7_OA/C6,0.008936568673875777,0.7730762660239799,0.8432780782761642,54
7_OA/OL,0.0044707173587015675,0.71566680331427,0.8401534904577743,56
7_OA/(OA+OL),0.008219442599509899,0.7670881086361909,0.8673920359873533,56
7_(OA+OL)/PDAL,0.015004450549934222,0.019389600199375665,0.022169767752114516,73
8_DVA/C4,0.005772254728222571,0.5437089983128632,0.5,3
8_DVA/DVO,0.009214995600652073,0.8105932297774634,1.0,3
8_DVA/(DVA+DVO),0.00449965091198046,0.6386130751179265,0.5,3
8_(DVA+DVO)/VDAL,0.05583685880191994,-0.43237318430760463,-0.5,3
9_OA/C6,0.0004698272894201575,0.9373614182666458,0.5,3
9_OA/OL,0.0001817685645065598,0.9087888789102787,0.5,3
9_OA/(OA+OL),0.00038802062295180563,0.92364635882484,0.5,3
9_(OA+OL)/PDAL,0.05265739307763306,-0.7349665816571957,-0.5,3
10_DVA/C4,0.0024548790168802846,0.9696624826360203,0.7024797136892443,18
10_DVA/DVO,0.006474475694529531,0.9196972584582246,0.9071207430340558,18
10_DVA/(DVA+DVO),0.0018048174237913252,0.9811313290872434,0.6491228070175438,18
10_(DVA+DVO)/VDAL,0.006220022841066154,0.4969834164466979,0.5479876160990712,18
11_OA/C6,0.0011130116259740592,0.8205023703819005,0.7804300757843396,10
11_OA/OL,0.0007354650284519466,0.8036006214705186,0.7720400404736821,10
11_OA/(OA+OL),0.0010752189413370194,0.8156394382676544,0.803741486073202,10
11_(OA+OL)/PDAL,0.005986445543371701,0.7132990903710178,0.8424242424242423,10
