family,base_label,split,mse,r,rho,n_points
DVA,DVA/C4,train,0.009712480064588353,0.9734273807912244,0.9467467178165319,218
DVA,DVA/C4,val,0.010650382455749122,0.978204865280309,0.9238681475466577,31
DVA,DVA/C4,test,0.028516371947691892,0.9272547608564464,0.7756609420869471,37
DVA,DVA/DVO,train,0.026673351425112426,0.962796927988729,0.9507252850244928,218
DVA,DVA/DVO,val,0.03794459940076646,0.9482659409960252,0.8943122954326902,31
DVA,DVA/DVO,test,0.11576111698803207,0.7748847698384963,0.8475042054024349,37
DVA,DVA/(DVA+DVO),train,0.010210928208007492,0.974600621130144,0.9500918809140199,218
DVA,DVA/(DVA+DVO),val,0.009130281209031218,0.9820550840688561,0.9264751556250336,31
DVA,DVA/(DVA+DVO),test,0.02921876878354146,0.9290066122640207,0.8186322690624949,37
DVA,(DVA+DVO)/VDAL,train,0.02744721875897914,0.6474323014260659,0.5352237234512929,218
DVA,(DVA+DVO)/VDAL,val,0.05691568095370117,0.6469738706357586,0.6697580645161292,31
DVA,(DVA+DVO)/VDAL,test,0.040214387113841975,0.4957736389960783,0.3423420118669979,37
OA,OA/C6,train,0.005975082097791017,0.9800825025659081,0.971975787979565,188
OA,OA/C6,val,0.01129584308058872,0.9680136363165525,0.920176974128789,25
OA,OA/C6,test,0.06641247358498786,0.8213936984354689,0.7345813519787028,32
OA,OA/OL,train,0.007755156889455404,0.9708074319534459,0.9684680080686883,190
OA,OA/OL,val,0.011557381141943948,0.9573119995409034,0.9115044922496256,25
OA,OA/OL,test,0.09448315739407781,0.7258696538854618,0.7814695233815987,32
OA,OA/(OA+OL),train,0.005763122810381577,0.9809578902169794,0.9780782893805823,190
OA,OA/(OA+OL),val,0.009450158676814563,0.9747015350067902,0.9242016844168851,25
OA,OA/(OA+OL),test,0.06536800782672515,0.8259579508667438,0.7812856481996266,32
OA,(OA+OL)/PDAL,train,0.02226107987185695,0.50654269309848,0.5651003015158125,208
OA,(OA+OL)/PDAL,val,0.049757250737093854,0.38685799113475733,0.4142857142857142,29
OA,(OA+OL)/PDAL,test,0.03920162667807211,0.175990236255373,0.2711134894511417,35
