family,base_label,split,mse,r,rho,n_points
DVA,DVA/C4,train,0.010415634737885133,0.9708927898578359,0.9557044940104172,197
DVA,DVA/C4,val,0.009985581851706773,0.9753470826575494,0.9237596556341272,31
DVA,DVA/C4,test,0.021854111827051027,0.9454764451047949,0.7712408332158692,33
DVA,DVA/DVO,train,0.034055320759471236,0.9536703306092692,0.9495126267203724,197
DVA,DVA/DVO,val,0.02481545952900744,0.9609454312094082,0.8668212565475344,31
DVA,DVA/DVO,test,0.07261853717632344,0.8734072375044455,0.8613054236804096,33
DVA,DVA/(DVA+DVO),train,0.010951131855952145,0.9722787204963349,0.955994003855467,197
DVA,DVA/(DVA+DVO),val,0.009917276970654245,0.97679460041973,0.902803002828538,31
DVA,DVA/(DVA+DVO),test,0.022490113391916075,0.945792999014201,0.8572876724329209,33
DVA,(DVA+DVO)/VDAL,train,0.02917880833213409,0.6111823047206789,0.4405277873252481,197
DVA,(DVA+DVO)/VDAL,val,0.05842843477396327,0.5254533163831264,0.45362903225806456,31
DVA,(DVA+DVO)/VDAL,test,0.03863604221437391,0.5469576528913417,0.44526342930701773,33
OA,OA/C6,train,0.006476244191568845,0.9781501548375463,0.968765177342257,172
OA,OA/C6,val,0.021631039945368472,0.9478845558151128,0.856252802684963,30
OA,OA/C6,test,0.04714954787718317,0.8683939926586565,0.7904144507840035,30
OA,OA/OL,train,0.008700765863107265,0.9676934367635609,0.9647640158365732,174
OA,OA/OL,val,0.020552998750348193,0.9321538693068765,0.8964289742866339,30
OA,OA/OL,test,0.07083042573861226,0.7771244419605154,0.8489263987749963,30
OA,OA/(OA+OL),train,0.006094457932143837,0.9796823057608562,0.9741958284107506,174
OA,OA/(OA+OL),val,0.01852444871107149,0.9541511924879909,0.8494827063356588,30
OA,OA/(OA+OL),test,0.045454800171155316,0.8752102424635456,0.8351009622832575,30
OA,(OA+OL)/PDAL,train,0.022342497840124747,0.48348323973383617,0.5298679208396664,195
OA,(OA+OL)/PDAL,val,0.05108392231639548,0.4925713865839414,0.5891129032258066,31
OA,(OA+OL)/PDAL,test,0.03383467330640402,0.2290321478616448,0.4278546335747133,33
