label,mse,r,rho,n_points
0_DVA/C4,0.005420537209290616,0.9006421139800325,0.9425087108013939,41
0_DVA/DVO,0.011202256250104955,0.8761317208795688,0.8606271777003486,41
0_DVA/(DVA+DVO),0.005589921873926394,0.9017161028491788,0.8858885017421604,41
0_(DVA+DVO)/VDAL,0.022924239262737962,0.7472019681142708,0.7531358885017423,41
1_DVA/C4,0.010057709259344752,0.9047395957358096,0.7212121212121211,10
1_DVA/DVO,0.015579929847267113,0.9089876384977299,0.9030303030303028,10
1_DVA/(DVA+DVO),0.009252572858579538,0.9131098053860687,0.7939393939393938,10
1_(DVA+DVO)/VDAL,0.010586789732530268,0.7000010400118376,0.7333333333333332,10
2_OA/C6,0.0018597289394514838,0.9811249506773648,0.9470919324577863,40
2_OA/OL,0.0031884636259228586,0.9816271818162999,0.9808630393996248,40
2_OA/(OA+OL),0.0017389670457305015,0.9819171028454834,0.9664165103189495,40
2_(OA+OL)/PDAL,0.01043479677148067,0.38658558702500695,0.46428571428571436,41
3_OA/C6,0.008606904349296746,0.9037479850474414,0.7696969696969697,10
3_OA/OL,0.020535084764137485,0.8893258151872332,0.8424242424242423,10
3_OA/(OA+OL),0.008512855485786893,0.919111993041652,0.8181818181818182,10
3_(OA+OL)/PDAL,0.010343715450674088,-0.38991183450950534,-0.13939393939393938,10
4_DVA/C4,0.006082109191170626,0.9789507765615328,0.9778218880024427,68
4_DVA/DVO,0.005201199116497304,0.9608228735576925,0.924953238920487,68
4_DVA/(DVA+DVO),0.006189601608570281,0.9787234866375005,0.9784326449593463,68
4_(DVA+DVO)/VDAL,0.005734520921269261,0.4665676997052056,0.4657785242585028,68
5_OA/C6,0.005944537294693359,0.978486496318492,0.9217200709738025,66
5_OA/OL,0.0069755752691456185,0.9545060103610838,0.9311554117524269,66
5_OA/(OA+OL),0.00618340416507649,0.9797618543571674,0.9400480116898029,66
5_(OA+OL)/PDAL,0.006855848475683764,0.3232305335272549,0.4408516856278051,66
6_DVA/C4,0.010747196095540128,0.9207148754958839,0.897123049235385,74
6_DVA/DVO,0.008968801179954416,0.9073142518165186,0.8735863717805762,74
6_DVA/(DVA+DVO),0.010289574768987337,0.922524736140806,0.9022705248687636,74
6_(DVA+DVO)/VDAL,0.010765988483374421,-0.020231281318267926,-0.02780061192263875,74
7_OA/C6,0.009261310544109306,0.8202177007280246,0.8808277121542015,52
7_OA/OL,0.004939814866917413,0.7816267100293831,0.8770807730770745,54
7_OA/(OA+OL),0.008502883988675073,0.8225865807331497,0.8907582682173997,54
7_(OA+OL)/PDAL,0.013399425156320637,0.1144101206707609,0.1089323009677341,74
8_DVA/C4,0.004998552304642174,0.28797127611735973,0.39999999999999997,4
8_DVA/DVO,0.011632829544772764,0.5074797757248213,0.39999999999999997,4
8_DVA/(DVA+DVO),0.005075493875383544,0.3185110353436691,0.316227766016838,4
8_(DVA+DVO)/VDAL,0.039596295884284934,-0.36659500390742705,-0.39999999999999997,4
9_OA/C6,0.0007137520884530666,0.7303808941688372,0.19999999999999998,4
9_OA/OL,0.0003029533092665071,0.7981186057675219,0.39999999999999997,4
9_OA/(OA+OL),0.0006939202970023317,0.6944083964961123,0.19999999999999998,4
9_(OA+OL)/PDAL,0.0335704068576751,-0.7850529962637839,-0.39999999999999997,4
