val_loss,epoch,step,train_loss
0.23092393577098846,0,6,
,0,6,0.26405131816864014
0.21879436075687408,1,13,
,1,13,0.2503800094127655
0.20876163244247437,2,20,
,2,20,0.23276662826538086
0.19994240999221802,3,27,
,3,27,0.21884547173976898
0.19210651516914368,4,34,
,4,34,0.20870637893676758
0.1851300299167633,5,41,
,5,41,0.20836256444454193
0.17916464805603027,6,48,
,6,48,0.19802075624465942
0.17376931011676788,7,55,
,7,55,0.19054268300533295
0.16886615753173828,8,62,
,8,62,0.1890922635793686
0.1645248383283615,9,69,
,9,69,0.18119202554225922
0.1605730950832367,10,76,
,10,76,0.1816527396440506
0.15670481324195862,11,83,
,11,83,0.17550505697727203
0.1529851257801056,12,90,
,12,90,0.16797132790088654
0.14930973947048187,13,97,
,13,97,0.16644732654094696
0.1456749439239502,14,104,
,14,104,0.16171380877494812
0.14237795770168304,15,111,
,15,111,0.15458914637565613
0.13935919106006622,16,118,
,16,118,0.15606273710727692
0.1365795135498047,17,125,
,17,125,0.1530478596687317
0.13386790454387665,18,132,
,18,132,0.14702530205249786
0.13122457265853882,19,139,
,19,139,0.14354899525642395
0.1289164125919342,20,146,
,20,146,0.14326047897338867
0.12682177126407623,21,153,
,21,153,0.14142021536827087
0.12475216388702393,22,160,
,22,160,0.14377103745937347
0.12286150455474854,23,167,
,23,167,0.13801884651184082
0.12112785875797272,24,174,
,24,174,0.13661770522594452
0.11924652010202408,25,181,
,25,181,0.13166624307632446
0.11760751157999039,26,188,
,26,188,0.13385261595249176
0.11612897366285324,27,195,
,27,195,0.13382293283939362
0.11471884697675705,28,202,
,28,202,0.12970805168151855
0.1134263426065445,29,209,
,29,209,0.12608596682548523
0.11220241338014603,30,216,
,30,216,0.12457337230443954
0.1110835149884224,31,223,
,31,223,0.12818242609500885
0.11015696823596954,32,230,
,32,230,0.12872329354286194
0.10924262553453445,33,237,
,33,237,0.12423251569271088
0.10828027874231339,34,244,
,34,244,0.12784443795681
0.1072930321097374,35,251,
,35,251,0.119944728910923
0.10641801357269287,36,258,
,36,258,0.12485601007938385
0.10564827919006348,37,265,
,37,265,0.11849232763051987
0.104771688580513,38,272,
,38,272,0.11880704015493393
0.10388682037591934,39,279,
,39,279,0.12179955095052719
0.10309343039989471,40,286,
,40,286,0.1244388297200203
0.10235999524593353,41,293,
,41,293,0.12069523334503174
0.10165129601955414,42,300,
,42,300,0.11463448405265808
0.10095258057117462,43,307,
,43,307,0.12123078852891922
0.10029251128435135,44,314,
,44,314,0.11966294795274734
0.09974376112222672,45,321,
,45,321,0.11514423787593842
0.09921003133058548,46,328,
,46,328,0.11796644330024719
0.09855950623750687,47,335,
,47,335,0.11650139093399048
0.09798756241798401,48,342,
,48,342,0.11662096530199051
0.09743034094572067,49,349,
,49,349,0.11652493476867676
0.096934013068676,50,356,
,50,356,0.11677420884370804
0.09629365801811218,51,363,
,51,363,0.11051243543624878
0.0956890806555748,52,370,
,52,370,0.11737891286611557
0.09512914717197418,53,377,
,53,377,0.10852932184934616
0.09458150714635849,54,384,
,54,384,0.11576779931783676
0.0941733568906784,55,391,
,55,391,0.11483971029520035
0.09374862164258957,56,398,
,56,398,0.10734732449054718
0.09344447404146194,57,405,
,57,405,0.11815935373306274
0.0929265022277832,58,412,
,58,412,0.10897243767976761
0.0925271213054657,59,419,
,59,419,0.1086026057600975
0.0920068696141243,60,426,
,60,426,0.11001916229724884
0.09146187454462051,61,433,
,61,433,0.10909686237573624
0.09108613431453705,62,440,
,62,440,0.10825046896934509
0.09065105020999908,63,447,
,63,447,0.10735318064689636
0.09034648537635803,64,454,
,64,454,0.10818571597337723
0.08998574316501617,65,461,
,65,461,0.10625826567411423
0.08970307558774948,66,468,
,66,468,0.11023321747779846
0.08942939341068268,67,475,
,67,475,0.11093307286500931
0.08906052261590958,68,482,
,68,482,0.11017625778913498
0.08864255249500275,69,489,
,69,489,0.1028924211859703
0.0883314236998558,70,496,
,70,496,0.10715603828430176
0.08809356391429901,71,503,
,71,503,0.1079418957233429
0.0878816545009613,72,510,
,72,510,0.10686013847589493
0.08759097754955292,73,517,
,73,517,0.10756485164165497
0.08726225793361664,74,524,
,74,524,0.10589165985584259
0.08687876164913177,75,531,
,75,531,0.10355682671070099
0.08658972382545471,76,538,
,76,538,0.10338366031646729
0.08606406301259995,77,545,
,77,545,0.10927192866802216
0.0857168659567833,78,552,
,78,552,0.10579981654882431
0.08520565927028656,79,559,
,79,559,0.10126892477273941
0.08472023904323578,80,566,
,80,566,0.10438871383666992
0.0842980146408081,81,573,
,81,573,0.10350287705659866
0.08394023776054382,82,580,
,82,580,0.10532835125923157
0.08364231139421463,83,587,
,83,587,0.10314621776342392
0.08347415924072266,84,594,
,84,594,0.10419653356075287
0.08316834270954132,85,601,
,85,601,0.09617282450199127
0.08287394791841507,86,608,
,86,608,0.1034252867102623
0.08235865086317062,87,615,
,87,615,0.10120639204978943
0.08215492218732834,88,622,
,88,622,0.10507021099328995
0.08164672553539276,89,629,
,89,629,0.10181500017642975
0.08123137056827545,90,636,
,90,636,0.09595084190368652
0.08077644556760788,91,643,
,91,643,0.10046358406543732
0.08045493811368942,92,650,
,92,650,0.0986110046505928
0.08016172796487808,93,657,
,93,657,0.09660111367702484
0.07990562170743942,94,664,
,94,664,0.09837252646684647
0.0796440988779068,95,671,
,95,671,0.09622079879045486
0.07941476255655289,96,678,
,96,678,0.1023356169462204
0.07895519584417343,97,685,
,97,685,0.09761238098144531
0.07856901735067368,98,692,
,98,692,0.09584952890872955
0.07825946807861328,99,699,
,99,699,0.09854722768068314
0.07805744558572769,100,706,
,100,706,0.09759049117565155
0.0778149887919426,101,713,
,101,713,0.10124251991510391
0.07754412293434143,102,720,
,102,720,0.09453239291906357
0.077264703810215,103,727,
,103,727,0.09291151165962219
0.07694913446903229,104,734,
,104,734,0.09415183216333389
0.0764283686876297,105,741,
,105,741,0.08955613523721695
0.07609844207763672,106,748,
,106,748,0.10055632144212723
0.07591336220502853,107,755,
,107,755,0.09744193404912949
0.07576898485422134,108,762,
,108,762,0.09948579967021942
0.07565414905548096,109,769,
,109,769,0.09383170306682587
0.07540374249219894,110,776,
,110,776,0.09437305480241776
0.07496356964111328,111,783,
,111,783,0.09299523383378983
0.0745079293847084,112,790,
,112,790,0.09630457311868668
0.07409379631280899,113,797,
,113,797,0.09740907698869705
0.07371604442596436,114,804,
,114,804,0.09059849381446838
0.07332317531108856,115,811,
,115,811,0.09269799292087555
0.0729319155216217,116,818,
,116,818,0.0922434851527214
0.07243011146783829,117,825,
,117,825,0.09828066825866699
0.0723237618803978,118,832,
,118,832,0.09436850994825363
0.07199131697416306,119,839,
,119,839,0.09068578481674194
0.07186620682477951,120,846,
,120,846,0.0930931344628334
0.07174374908208847,121,853,
,121,853,0.08822283893823624
0.07132046669721603,122,860,
,122,860,0.0940939262509346
0.07114755362272263,123,867,
,123,867,0.09028390794992447
0.07106531411409378,124,874,
,124,874,0.09265430271625519
0.07101298868656158,125,881,
,125,881,0.0856928825378418
0.07074650377035141,126,888,
,126,888,0.09306547045707703
0.07045014202594757,127,895,
,127,895,0.08683066070079803
0.0701020210981369,128,902,
,128,902,0.09235463291406631
0.06982111930847168,129,909,
,129,909,0.09014469385147095
0.06951088458299637,130,916,
,130,916,0.09020602703094482
0.06940363347530365,131,923,
,131,923,0.08823943138122559
0.0692606270313263,132,930,
,132,930,0.08861663192510605
0.06921394169330597,133,937,
,133,937,0.08320397138595581
0.06914754211902618,134,944,
,134,944,0.09358162432909012
0.06908177584409714,135,951,
,135,951,0.08483417332172394
0.06870198249816895,136,958,
,136,958,0.09179350733757019
